,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id,label
104458,104458,a30688,b544,Panda Garden,Phoenix,85044,88,33.33194498,-111.9816185,4,4730 E Warner Rd,0,dHTGzM4_3kKEiQvab9mi9A,Panda Garden,Phoenix,85044,262,33.330903,-111.983102,4.2,4730 E Warner Rd$*$ Phoenix$*$ AZ 85044,17028328,0,1
105088,105088,a41565,b544,Pacific Gardens,Phoenix,85044,87,33.34819017,-111.9833333,4,4747 E Elliott Rd,0,H2RgkjPs3W-CxbyygCJJew,Panda Garden,Phoenix,85044,262,33.330903,-111.983102,4.2,4730 E Warner Rd$*$ Phoenix$*$ AZ 85044,17028328,0,0
105561,105561,a47511,b524,Jimmy & Joe's Pizzeria,Phoenix,85044,83,33.34816019,-111.9829226,3.5,4747 E Elliot Rd,0,t7qvPH0G30w6xX5Q4lf8Jw,Nello's Pizza,Phoenix,85044,404,33.330861,-111.982886,4.3,4710 E Warner Road$*$ Phoenix$*$ AZ 85044,17028076,0,0
106539,106539,a102597,b566,Los Taquitos,Phoenix,85044,615,33.3480616,-111.9820214,4,4747 E Elliot Rd$*$ Ste 17,0,P8IsTiHq5Hesa6UPL604ww,Biscuits,Phoenix,85044,251,33.3485028,-111.9837827,4.1,4623 E Elliot Rd$*$ Phoenix$*$ AZ 85044,17032017,0,0
106695,106695,a105666,b524,Nellos Pizza,Phoenix,85044,170,33.3313761,-111.982699,4,4710 E Warner Rd$*$ Ste 10,0,TVYJx5iUkLJFiuiXc8rxEQ,Nello's Pizza,Phoenix,85044,404,33.330861,-111.982886,4.3,4710 E Warner Road$*$ Phoenix$*$ AZ 85044,17028076,0,1
106767,106767,a108650,b524,Chuck E Cheese's Pizza,Phoenix,85044,10,33.3295481,-111.9786084,3,4825 E Warner Rd,0,8dSKEPQn0pmZEmWTKZI81Q,Nello's Pizza,Phoenix,85044,404,33.330861,-111.982886,4.3,4710 E Warner Road$*$ Phoenix$*$ AZ 85044,17028076,0,0
109133,109133,a97428,b2306,Spicy Tuna Sushi,Henderson,89052,230,36.00071281,-115.1091894,4.5,10345 S Eastern Ave$*$ Ste 190,0,iqQEH6olFhpqwZjFRRFmuA,I Love Sushi,Las Vegas,89052,829,35.991343,-115.101169,4.7,11041 S Eastern Ave$*$ Henderson$*$ NV 89052,16978730,0,0
109439,109439,a25228,b3519,Rays Place,Kent,44240,134,41.1529909,-81.3589635,4,153 Franklin Ave,0,GdZ-Ryn9QzqV4glodYF6Jg,Ray's Place,Cleveland,44240,501,41.153612,-81.358598,4.5,135 Franklin Ave$*$ Kent$*$ OH 44240,16962469,0,1
109686,109686,a47278,b3551,Taco Tonto's,Kent,44240,114,41.1533068,-81.3586334,4,123 Franklin Ave,0,Iw9k29FJCZ0fC68oxK1NtA,Taco Tonto's,Cleveland,44240,387,41.154036,-81.358517,4.3,123 Franklin Ave$*$ Kent$*$ OH 44240,16963004,0,1
109939,109939,a75205,b342,Jim 'N Nick's Bar-B-Q,Charlotte,28273,210,35.10504148,-80.98988365,4,13840 Steele Creek Rd,0,E3BTs8yFlVbZd20TknY00A,Jim 'N Nick's Bar-B-Q,Charlotte,28273,607,35.106239,-80.988791,4.3,13840 Steele Creek Road$*$ NC 28273,17148531,0,1
110534,110534,a62729,b584,Tryst Cafe,Phoenix,85050,440,33.677854,-111.978579,3.5,21050 N Tatum Blvd,0,2DmTw0k3bcXuHdAyxO_bkw,Tryst Cafe,Phoenix,85050,223,33.678139,-111.977666,4,21050 North Tatum Boulevard$*$ AZ 85050,17032211,0,1
110983,110983,a124491,b568,Fatburger,Pheonix,85050,12,33.6770727,-111.9740351,3.5,Desert Ridge Marketplace$*$ 21001 N Tatum Blvd$*$ Bldg 34-1140,0,xWMZJd0_Azfcx3VWJCxNng,In-N-Out Burger,Phoenix,85050,325,33.676937,-111.977134,4.1,21001 N Tatum Blvd$*$ Phoenix$*$ AZ 85050,17027078,0,0
112381,112381,a112989,b354,Taipei South,Charlotte,28210,65,35.0929369,-80.8592044,4,10106 Johnston Rd$*$ Ste A,0,WCkh_ZcsWKU1wx4bqyU9KA,Cafe Monte,Charlotte,28210,852,35.147713,-80.829113,4.2,6700 Fairview Road$*$Suite 108$*$ Charlotte$*$ NC 28210,17148534,0,0
112426,112426,a119265,b354,Cafe At 6100,Charlotte,28210,3,35.1504276,-80.8376229,3.5,6100 Fairview Rd$*$ Ste 110,0,QHmEacOnCyn7VaK1S5V4lQ,Cafe Monte,Charlotte,28210,852,35.147713,-80.829113,4.2,6700 Fairview Road$*$Suite 108$*$ Charlotte$*$ NC 28210,17148534,0,0
112431,112431,a120433,b354,Paper Source,Charlotte,28210,21,35.14610739,-80.8275065,4.5,6800 Phillips Pl Ct$*$ Ste A & B,0,u5nQZunVrdwFTzYFd0Eodg,Cafe Monte,Charlotte,28210,852,35.147713,-80.829113,4.2,6700 Fairview Road$*$Suite 108$*$ Charlotte$*$ NC 28210,17148534,0,0
112527,112527,a126067,b359,Orvis,Charlotte,28210,5,35.146206,-80.82726,2.5,6800 Phillips Place Ct$*$ Ste F,0,UaMLz9Uj5o4oM5A2yzfIZw,Brio,Charlotte,28210,465,35.151683,-80.839925,4.2,4720 Piedmont Row Drive$*$ Charlotte$*$ NC 28210,17149544,0,0
113039,113039,a9123,b559,America's Taco Shop,Phoenix,85006,379,33.470887,-112.064765,3.5,2041 N 7th St,0,WOz66UuVsfc2K9GxzfDnGg,America's Taco Shop,Phoenix,85006,270,33.470124,-112.064945,4.1,2041 North 7th Street$*$ Phoenix$*$ AZ 85006,17030463,0,1
114732,114732,a132835,b551,La Salsita's Mexican Food,Phoenix,85006,29,33.451096,-112.030703,3.5,2345 E Van Buren St,0,bEZalv7kVGhiCd0WK4uFSw,La Santisima Gourmet Taco Shop,Phoenix,85006,250,33.469201,-112.047393,4.1,1919 North 16th Street$*$ Midtown$*$ Phoenix$*$ AZ 85006,17031685,0,0
115054,115054,a2141,b2350,Chicken Shack,Henderson,89014,338,36.0721935,-115.0729977,4,4606 E Sunset Rd,0,aqwn3jdQLCWnb59gHK4nAw,The Chicken Shack,Las Vegas,89014,219,36.071137,-115.073086,4.3,4606 E Sunset Rd$*$ Henderson$*$ NV 89014,16977903,0,1
115149,115149,a7792,b2344,In-N-Out Burger,Henderson,89014,150,36.0633628,-115.0339166,4,1051 W Sunset Rd,0,kxYiZnd7Y-3ibdwnMFuTzw,In-N-Out Burger,Las Vegas,89014,455,36.063586,-115.034151,4.3,1051 W Sunset Rd$*$ Henderson$*$ NV 89014,16981245,0,1
116425,116425,a67014,b2344,Fatburger,Henderson,89014,69,36.070524,-115.0717488,2.5,4663 E Sunset Rd,0,UY9t1EL5PYxPiBGivkeE9Q,In-N-Out Burger,Las Vegas,89014,455,36.063586,-115.034151,4.3,1051 W Sunset Rd$*$ Henderson$*$ NV 89014,16981245,0,0
118963,118963,a9746,b3543,Joe's Deli,Rocky River,44116,173,41.4712991,-81.8350803,4,19215 Hilliard Blvd,0,sWucpMb_MDdqAthWFFisow,Joe's Deli,Cleveland,44116,594,41.471463,-81.835295,4.3,19215 Hilliard Blvd$*$ Rocky River$*$ OH 44116,16961179,0,1
121022,121022,a140798,b2375,Due Forni,Las Vegas,89135,410,36.1248405,-115.3252217,4,3555 S Town Center Dr$*$ Ste 105,0,bPcqucuuClxYrIM8xWoArg,Due Forni,Las Vegas,89135,311,36.125885,-115.324674,4.2,3555 South Town Center Drive #105$*$ Summerlin South$*$ Las Vegas$*$ NV 89135,16982235,0,1
121066,121066,a125744,b2367,Leticia's Mexican Cocina,Las Vegas,89143,821,36.29887519,-115.2800882,4,7585 Norman Rockwell Ln$*$ Bldg 1,0,pomGBqfbxcqPv14c3XH-ZQ,Leticia's Cocina,Las Vegas,89143,481,36.298924,-115.280107,4.2,7585 Norman Rockwell Lane$*$ Las Vegas$*$ NV 89143,16981606,0,1
121070,121070,a276,b3592,Zappitelli's Pizza,Mentor,44060,38,41.681422,-81.2962052,4,9570 Mentor Ave,0,O54jXbKjZte4qVYabYjGjg,Zappitelli's,Cleveland,44060,239,41.682048,-81.29663,4.2,9570 Mentor Ave$*$ Mentor$*$ OH 44060,16963406,0,1
121161,121161,a14745,b3589,Seekers Coffee House,Mentor,44060,5,41.6806829,-81.3004134,4,9443 Mentor Ave,0,dHFIvgOYM2Ys7-K47fYWsw,Scooters Dawghouse,Cleveland,44060,268,41.72447,-81.294857,4.2,9600 Blackbrook Rd$*$ Mentor$*$ OH 44060,16962693,0,0
121351,121351,a71437,b3589,Scooter's Dawghouse,Mentor,44060,78,41.724476,-81.294445,4.5,9600 Blackbrook Rd,0,nEMUUOvFB2Vi90uiF4rlCg,Scooters Dawghouse,Cleveland,44060,268,41.72447,-81.294857,4.2,9600 Blackbrook Rd$*$ Mentor$*$ OH 44060,16962693,0,1
121887,121887,a12606,b502,San Gabriel Mexican Caf,Phoenix,85020,10,33.538927,-112.048079,3,7000 N 16th St$*$ Ste 140,0,Kl4jN1WUFX67JRE40QVrcg,Via De Los Santos Mexican Cafe,Phoenix,85020,596,33.568964,-112.074064,4.5,9120 North Central Avenue$*$ Sunnyslope/North Mountain$*$ Phoenix$*$ AZ 85020,17029872,0,0
123322,123322,a111556,b502,Pepe El Toro Mexican Food,Phoenix,85020,3,33.5609984,-112.0656384,3.5,8510 N 7th Street,0,IUKQ4IUooZQWRhSQdGQI5Q,Via De Los Santos Mexican Cafe,Phoenix,85020,596,33.568964,-112.074064,4.5,9120 North Central Avenue$*$ Sunnyslope/North Mountain$*$ Phoenix$*$ AZ 85020,17029872,0,0
124358,124358,a420,b2390,The Chandelier,Las Vegas,89109,904,36.11008368,-115.173179,4,The Cosmopolitan Of Las Vegas$*$ 3708 Las Vegas Blvd S,0,Pob7ibbNT29--69nxXEP2g,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
124724,124724,a881,b2314,Drugstore Cafe,Las Vegas,89109,148,36.1265953,-115.1653652,3.5,3131 Las Vegas Blvd S,0,Do4n_yK_K6DmR9_Es5qwlA,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,0
124777,124777,a882,b2386,Monte Carlo Hotel And Casino,Las Vegas,89109,2080,36.1051256,-115.1752326,3,3770 Las Vegas Blvd S,0,5iSmZO0SrKU6EoXK_1M8Kw,Andre's Restaurant - Monte Carlo Resort and Casino,Las Vegas,89109,115,36.1045,-115.175556,4.2,Monte Carlo Resort and Casino$*$ 3770 Las Vegas Boulevard South$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977392,0,0
126368,126368,a3366,b2313,Island Grill,Las Vegas,89109,9,36.1413706,-115.1367974,4,2660 S Maryland Pkwy$*$ Ste 24,0,BntSl0d6YiwGR69cZs7PPg,Mesa Grill,Las Vegas,89109,1410,36.116111,-115.1744,4.5,3570 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979381,0,0
126503,126503,a3440,b2304,Boardhouse Serious Sandwich,Las Vegas,89109,9,36.1130255,-115.1634847,2.5,4178 Koval Ln,0,Y4nw_rZUPGw-aRdx6kv4kA,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,0
127448,127448,a4759,b2304,Bank of America,Las Vegas,89109,11,36.1303615,-115.1391209,2,1140 E Desert Inn Rd,0,CLVfGD1qczH8Tc6C-pKDPg,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,0
128111,128111,a5328,b2399,Quark's Bar & Restaurant,Las Vegas,89109,42,36.1371122,-115.1529193,4,Star Trek The Experience$*$ 3000 Paradise Rd,0,9QtHDX71JnaQbmzWWVbi-A,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,0
128667,128667,a5531,b2394,Les Artistes Steakhouse,Las Vegas,89109,52,36.124423,-115.146372,3.5,Paris Las Vegas$*$ 3655 Las Vegas Blvd S,0,I_aIzz-3iKA3o7G6S4A30w,Delmonico Steakhouse,Las Vegas,89109,714,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978142,0,0
129227,129227,a5789,b2394,Bally's Steakhouse,Las Vegas,89109,65,36.1142391,-115.1727367,3.5,3645 Las Vegas Blvd S,0,F0QPkgrcXx1xBxXT7Htuhg,Delmonico Steakhouse,Las Vegas,89109,714,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978142,0,0
129518,129518,a5966,b2313,Sweet Chill,Las Vegas,89109,17,36.128561,-115.1711298,3.5,Aria Resort and Casino$*$ 3741 Las Vegas Blvd S,0,TZM4eiv3CtR9CBPtknXgDw,Mesa Grill,Las Vegas,89109,1410,36.116111,-115.1744,4.5,3570 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979381,0,0
130328,130328,a7167,b2327,Stash,Las Vegas,89109,6,36.1272241,-115.1715512,5,3200 Las Vegas Blvd S,0,eOBIx8nO4NXi5Kff1soL0g,Spago,Las Vegas,89109,513,36.116111,-115.1744,4.4,3500 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980318,0,0
130868,130868,a7203,b2390,The Cafe,Las Vegas,89109,11,36.1272493,-115.1667018,2.5,198 Wynn Main Gate Dr,0,RZZldj8WHNkgxuOkKnAfDA,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
131439,131439,a7436,b2307,Le Macaron Venetian,Las Vegas,89109,32,36.12178769,-115.1695946,4,3355 S Las Vegas Blvd$*$ Unit 2353,0,UgMGhcUZVYWcUeUjo6UDMg,Bouchon Bistro - The Venetian,Las Vegas,89109,1167,36.121,-115.1702,4.6,The Venetian$*$ 3355 Las Vegas Boulevard South$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977639,0,0
131566,131566,a7586,b2364,First Food & Bar,Las Vegas,89109,357,36.12355948,-115.1686692,3.5,The Palazzo$*$ 3327 Las Vegas Blvd S,0,_ixV2SWDy7w8jzEAHp85qA,Fiamma Trattoria & Bar,Las Vegas,89109,217,36.10222,-115.169516,4.2,MGM Grand$*$ 3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978398,0,0
133449,133449,a9862,b2339,L'Atelier de Jol Robuchon,Las Vegas,89109,886,36.10259007,-115.1705414,4.5,3799 Las Vegas Blvd S,0,mUdalYTuAtnZm2K9zoH27Q,Jol Robuchon,Las Vegas,89109,289,36.10222,-115.169516,4.3,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978909,0,1
133912,133912,a10513,b2386,The Cromwell Las Vegas Resort & Casino,Las Vegas,89109,318,36.1150489,-115.1718308,3.5,3595 Las Vegas Blvd S,0,y9ukbhhyYC2qrPSS9eWh5Q,Andre's Restaurant - Monte Carlo Resort and Casino,Las Vegas,89109,115,36.1045,-115.175556,4.2,Monte Carlo Resort and Casino$*$ 3770 Las Vegas Boulevard South$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977392,0,0
134243,134243,a11165,b2313,Chipotle Mexican Grill,Las Vegas,89109,95,36.120095,-115.171769,3.5,3475 Las Vegas Blvd S,0,dusNIzdCaH6EoLl2hRy6cQ,Mesa Grill,Las Vegas,89109,1410,36.116111,-115.1744,4.5,3570 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979381,0,0
136230,136230,a13678,b2397,Payard Ptisserie & Bistro,Las Vegas,89109,589,36.11724286,-115.1750136,4,Caesars Palace Las Vegas Hotel And Casino$*$ 3570 Las Vegas Boulevard South,0,AyEtowSGi9vx0-xFfrgjWw,Tao Asian Bistro,Las Vegas,89109,502,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980571,0,0
136682,136682,a14235,b2394,Jean Georges Steakhouse,Las Vegas,89109,600,36.10715237,-115.1771307,3.5,3730 Las Vegas Blvd S,0,qmIHO-6T_KEfPC9jyGDamQ,Delmonico Steakhouse,Las Vegas,89109,714,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978142,0,0
137106,137106,a14328,b2399,Buca di Beppo Italian Restaurant,Las Vegas,89109,69,36.1142773,-115.1709763,3,3645 Las Vegas Blvd S,0,2O_b-IAAW7SoPt__RX1Kww,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,0
137193,137193,a14331,b2337,Joe's Seafood Prime Steak & Stone Crab,Las Vegas,89109,1691,36.11864532,-115.1736291,4.5,The Forum Shop At Caesars Palace$*$ 3500 Las Vegas Blvd S$*$ Ste R-05,0,I6EDDi4-Eq_XlFghcDCUhw,Joe's Seafood$*$ Prime Steak & Stone Crab,Las Vegas,89109,730,36.116111,-115.1744,4.3,3500 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978884,0,1
138581,138581,a16077,b2309,Jean Philippe Patisserie,Las Vegas,89109,1178,36.10681461,-115.178175,4,3730 Las Vegas Blvd S,0,H8qpFitIesth86zqR4cwYg,Jean-Philippe Ptisserie,Las Vegas,89109,353,36.111712,-115.17534,4.6,3600 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978840,0,1
141119,141119,a29542,b2359,Julio's Tacos & Grill,Las Vegas,89109,7,36.11285901,-115.1634135,4,4178 Koval Ln,0,mrjhrTycW0iLumjMZCfrzw,Wolfgang Puck Bar & Grill,Las Vegas,89109,336,36.10222,-115.169516,4.2,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980959,0,0
141679,141679,a29859,b2359,Gold Mine Bar & Grill,Las Vegas,89109,19,36.11792342,-115.1607698,2.5,3950 Koval Ln,0,1BtNZszIr8LvtPOhN0X4Mw,Wolfgang Puck Bar & Grill,Las Vegas,89109,336,36.10222,-115.169516,4.2,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980959,0,0
142630,142630,a32515,b2392,Silk Road Asian Bistro,Las Vegas,89109,26,36.1362575,-115.1512526,3,3000 Paradise Rd,0,QS7_BPmaBNvznOMhcVBemg,P.F. Chang's China Bistro,Las Vegas,89109,374,36.11077,-115.17282,4.1,3667 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979642,0,0
142909,142909,a32855,b2391,MaDD HouSe TaTToos,Las Vegas,89109,8,36.14349383,-115.1492446,4,557 E Sahara Ave$*$ Ste 110 A,0,1UmAo-UZoDcAkHd0O2kfsg,Hash House a Go Go,Las Vegas,89109,696,36.118212,-115.172554,4.1,3535 Las Vegas Blvd S$*$ Las Vegas$*$ NV 89109,16981709,0,0
143083,143083,a33337,b2390,The Buffalo,Las Vegas,89109,23,36.10535527,-115.1506206,3.5,4640 Paradise Rd$*$ Ste 11,0,PQQQKu5lD8F0Rg9MxrGcgQ,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
143370,143370,a33846,b2397,Burger Bistro,Las Vegas,89109,53,36.13551749,-115.1528137,2.5,3000 Paradise Rd,0,G9Cz2lUnLxv1cj6fnv73XA,Tao Asian Bistro,Las Vegas,89109,502,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16980571,0,0
144168,144168,a37448,b2390,The Lounge,Las Vegas,89109,12,36.1060128,-115.1667809,3.5,145 E Harmon Ave,0,JEcm5xp7sMw8dOT245LVgg,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
145504,145504,a40525,b2396,Battle Of The Dance,Las Vegas,89109,3,36.1044942,-115.1672853,4.5,Flamingo Showroom$*$ 3555 Las Vegas Blvd S,0,r3sDSJUoSYITCADK8s0kLg,Battista's Hole in the Wall,Las Vegas,89109,587,36.114988,-115.168072,4.1,4041 Linq Lane$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977523,0,0
147049,147049,a44599,b2307,Bouchon Bakery at the Venetian Theater,Las Vegas,89109,41,36.1214517,-115.1696112,4,3355 Las Vegas Blvd S$*$ Venetian Theater$*$ Sports Book and Clock Tower,0,3uC7Lbc3RgUDTWQlBu4PqQ,Bouchon Bistro - The Venetian,Las Vegas,89109,1167,36.121,-115.1702,4.6,The Venetian$*$ 3355 Las Vegas Boulevard South$*$ The Strip$*$ Las Vegas$*$ NV 89109,16977639,0,1
148271,148271,a47789,b2399,Lucky's Restaurant,Las Vegas,89109,4,36.13193741,-115.1520218,3,Inside Lvcc Grand Lobby$*$ 3150 Paradise Rd,0,E-0yfHPIoQk6FwXt6W6UYA,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,0
149352,149352,a49045,b2394,Strip House Steak House,Las Vegas,89109,438,36.11011835,-115.1720525,4,Planet Hollywood Resort and Casino,0,AT_xDv2Lm5K7VtER1fp-SA,Delmonico Steakhouse,Las Vegas,89109,714,36.121,-115.1702,4.1,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978142,0,0
149504,149504,a49336,b2314,Paradise Caf,Las Vegas,89109,75,36.1362575,-115.1512526,2,3000 Paradise Rd,0,VNr74A2-5_oqPN7bObPHuw,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,0
149539,149539,a49337,b2314,Sid's Cafe,Las Vegas,89109,101,36.13546042,-115.1521461,2,3000 Paradise Rd,0,_R-rjgz4Kwi4f3u0clFeKg,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,0
150249,150249,a50410,b2339,El Loco,Las Vegas,89109,5,36.124423,-115.146372,4,2880 Las Vegas Blvd S,0,jT_1GAMMFhgE4buLGsd-2Q,Jol Robuchon,Las Vegas,89109,289,36.10222,-115.169516,4.3,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978909,0,0
150869,150869,a51069,b2314,Sherwood Forest Cafe,Las Vegas,89109,48,36.098909,-115.175557,2.5,Excalibur Hotel Casino$*$ 3850 Las Vegas Blvd S,0,KJsGM_gLm597KEJ95PUfsw,Grand Lux Cafe,Las Vegas,89109,1022,36.121,-115.1702,4.5,3355 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978572,0,0
155001,155001,a56184,b2324,Julian Serrano,Las Vegas,89109,1429,36.10585591,-115.1742626,4,3730 Las Vegas Blvd S,0,_w5hBpkjHs5_Hv3pLeHtIw,Julian Serrano,Las Vegas,89109,514,36.107635,-115.176722,4.4,3730 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16981685,0,1
155128,155128,a56187,b2395,BLT Steak,Las Vegas,89109,359,36.1142391,-115.1727367,4,3645 Las Vegas Blvd S,0,07AZL5XenCQ_-op_onKLdw,Craftsteak,Las Vegas,89109,723,36.10222,-115.169516,4.1,3799 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16978079,0,0
155158,155158,a56188,b2390,The Rockhouse,Las Vegas,89109,183,36.122736,-115.170273,3,3355 S Las Vegas Blvd$*$ Ste 3200,0,7GGJlp1aWfcXGQz6q7SkXQ,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
155798,155798,a57608,b2304,Men of Sapphire,Las Vegas,89109,23,36.13318157,-115.1725458,4,3025 Sammy Davis Jr Dr$*$ Ste 201,0,Mg0HnPrsAEzQ0lGLj_BXSQ,Earl of Sandwich,Las Vegas,89109,631,36.11077,-115.17282,4.7,Planet Hollywood$*$ 3667 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978241,0,0
156325,156325,a58402,b2308,Amore Patisserie,Las Vegas,89109,28,36.128561,-115.1711298,4.5,Mandarin Oriental$*$ 3752 Las Vegas Blvd S,0,eoBeah3ZXruU1E5Fs1nSaQ,Jean-Philippe Ptisserie,Las Vegas,89109,358,36.107635,-115.176722,4.6,3730 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16981693,0,0
159576,159576,a62417,b2399,Gonzalez Y Gonzalez Restaurant,Las Vegas,89109,402,36.1030101,-115.1735187,3.5,3790 Las Vegas Blvd S,0,JsCKeWHA8n_5mFQ3F6t4UA,Eiffel Tower Restaurant,Las Vegas,89109,420,36.1125,-115.172222,4.1,3655 South Las Vegas Boulevard$*$ The Strip$*$ Las Vegas$*$ NV 89109,16978254,0,0
159775,159775,a62585,b2361,Outback Steakhouse,Las Vegas,89109,87,36.1035296,-115.1723424,3.5,3785 Las Vegas Blvd S$*$ 4th Fl,0,7wMCJ9NqL9eBEX4WdJWuIA,SW Steakhouse,Las Vegas,89109,314,36.129444,-115.166111,4.2,3131 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16980119,0,0
160303,160303,a63354,b2390,China Star Buffet,Las Vegas,89109,48,36.14217661,-115.13641,2,2590 S Maryland Pkwy,0,Nsi49BE_XsjJ0oOXwhH8hA,The Wynn Buffet,Las Vegas,89109,707,36.129444,-115.166111,4.1,3131 S Las Vegas Boulevard$*$ Las Vegas$*$ NV 89109,16977686,0,0
160615,160615,a64648,b2361,CRSVR Sneaker Boutique,Las Vegas,89109,29,36.109476,-115.173994,3,The Cosmopolitan Hotel$*$ 3708 S Las Vegas Blvd$*$ 2nd Fl,0,JgxPA53z3g3lk50PK_ueEA,SW Steakhouse,Las Vegas,89109,314,36.129444,-115.166111,4.2,3131 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16980119,0,0
161341,161341,a65694,b2334,Gordon Ramsay Steak,Las Vegas,89109,2700,36.11288234,-115.1712704,4,Paris Las Vegas Hotel & Casino$*$ 3655 Las Vegas Boulevard South,0,OETh78qcgDltvHULowwhJg,Gordon Ramsay BurGR,Las Vegas,89109,773,36.11077,-115.17282,4.3,3667 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16982906,0,0
161587,161587,a66357,b2336,The Chelsea,Las Vegas,89109,62,36.109779,-115.173887,4,The Cosmopolitan Of Las Vegas$*$ 3708 Las Vegas Blvd S,0,5FgLuegzxBvRFw5dTuETEw,The Cheesecake Factory,Las Vegas,89109,352,36.1179352,-115.1748371,4.3,3500 S Las Vegas Blvd$*$ Las Vegas$*$ NV 89109,16977880,0,0
161893,161893,a66602,b2313,Best Stripclub,Las Vegas,89109,3,36.1237084,-115.1703006,5,3565 South Las Vegas Blvd,0,lyWSsBblPyqYAzQuBEGKNg,Mesa Grill,Las Vegas,89109,1410,36.116111,-115.1744,4.5,3570 Las Vegas Boulevard S$*$ Las Vegas$*$ NV 89109,16979381,0,0
